451511	4603023046008	НОВАЯ ЗАРЯ Красная Москва духи 42мл(НОВАЯ ЗАРЯ):10	Парфюмерия и декоративная косметика	Парфюмерия	Одеколоны, духи, воды	Одеколоны, духи, воды женские
146022	4605622000108	СТАРЫЙ МЕЛЬНИК пиво светлое с/б 0,5л (Москва-Эфес) :20	Слабоалкогольные напитки	Пиво	Пиво светлое	Пиво светлое фильтрованное
353304	4606786000539	Водка Ямал (шелк син) 40% 0,5л (Бенат) :20	Крепкий алкоголь	Водка	Водка обычная	Водка обычная
145867	2336304	Колбаса Докторская вс (в)(Россошанский МК)	Мясная гастрономия	Колбасы	Вареные колбасы	Вареные колбасы
122215	2090391713063	Коньяк Старая крепость 4 года 40% 0,25л бут. (Дербент) :24	Крепкий алкоголь	Коньяк	Коньяк Россия/СНГ	3-5 лет
122701	4601135600484	Открытка двойная код Ф (Арт Дизайн)	Промышленные товары	Сезонные и подарочные товары	Поздравительные открытки	Открытки стандартные
122746	4606902005684	Мороженое Домашнее пломбир 0,2кг бум/уп(ОАО ВММТ) :30	Замороженная продукция	Мороженое	Мороженое порционное	Мороженое брикет
351515	2352008	Колбаса Доктор с натур молоком вар 1с(в)н/об(Царицыно):4	Мясная гастрономия	Колбасы	Вареные колбасы	Вареные колбасы
149034	8593893506268	БОН ПАРИ Мармелад жев. КИСЛЫЕ ЧЕРВЯЧКИ 75г(Нестле):15	Кондитерские изделия	Современные кондитерские изделия	Мармелад жевательный	Мармелад жевательный
146516	5413149045972	ARIEL Стир порош Автомат Горный Родник 450г(Проктер):22	Бытовая химия	Средства для стирки	Сухие средства для стирки	Сухие средства для стирки
149041	8001090784445	PAMPERS ActiveBaby Подг 3 Midi 4-9/6-10кг 22шт (Проктер):8	Уход и гигиена	Средства для гигиены и ухода за детьми	Подгузники	Подгузники
148400	4601135602532	Сумка подарочная пластиковая L 300х300x100 (Арт Дизайн)	Промышленные товары	Сезонные и подарочные товары	Упаковка подарков	Подарочные пакеты стандартные
355329	4606400504627	Светильник настольный Лючия D1902  60W Е27 (микс) : 12	Промышленные товары	Электрика	Освещение	Настольные лампы
148522	2223318400005	МОЛОКАМСК Кефир 2,5% 0,5л п/пак(ВМК):12	Молочная продукция	Кисломолочные традиционные продукты	Кефир	Кефир
148525	4607007640909	Сметана 15% 430г ф/п(ВМК):30	Молочная продукция	Кисломолочные традиционные продукты	Сметана	Сметана
148643	4607013980815	Хлеб Бородинский формовой 450гр (Пятигорский ХК)	Хлеб и хлебобулочные изделия	Хлеб и хлебобулочные изделия	Хлеб ржано-пшеничный	Хлеб ржано-пшеничный формовой
